59
перчатка: [{'латексный': 22134}, {'смотровой': 21413}, {'хирургический': 20182}, {'нестерильный': 15347}, {'неопудрить': 15047}, {'стерильный': 14411}, {'размер м': 10503}, {'нитриловый': 8992}, {'размер s': 7211}, {'размер l': 6916}, {'опудрить': 6416}, {'медицинский': 4791}, {'текстурированный': 4167}, {'диагностический': 3685}, {'pf': 3186}, {'размер 7': 3117}, {'повышенный': 2831}, {'размер 8': 2694}, {'резиновый': 2677}, {'хлопчатобумажный': 2569}, {'7': 2492}, {'пара': 2419}, {'стереть': 2351}, {'8': 2327}, {'хозяйственный': 2008}, {'анатомический': 1925}, {'малайзия': 1844}, {'прочность': 1786}, {'покрытие': 1784}, {'пвх': 1507}, {'одноразовый': 1472}, {'gammex': 1460}, {'manual': 1410}, {'размер 7,5': 1406}, {'россия': 1273}, {'форма': 1242}, {'dermagrip': 1234}, {'6': 1126}, {'виниловый': 1114}, {'синтетический': 1070}, {'7,5': 952}, {'неопреновый': 940}, {'50': 925}, {'р м': 908}, {'epic': 848}, {'австрия': 842}, {'размер 6': 778}, {'grip': 765}, {'размер 6,5': 741}, {'sfm': 736}, {'9': 727}, {'eco': 709}, {'внутренний': 708}, {'германия': 707}, {'medi': 700}, {'удлинённый': 685}, {'натуральный': 668}, {'1': 645}]
7: [{'перчатка': 2495}, {'латексный': 842}, {'смотровой': 725}, {'хирургический': 1128}, {'нестерильный': 787}, {'неопудрить': 540}, {'стерильный': 700}, {'размер м': 524}, {'нитриловый': 244}, {'размер s': 286}, {'размер l': 24}, {'опудрить': 316}, {'медицинский': 148}, {'текстурированный': 174}, {'диагностический': 102}, {'pf': 125}, {'размер 7': 1}, {'повышенный': 51}, {'размер 8': 1}, {'резиновый': 26}, {'хлопчатобумажный': 24}, {'пара': 74}, {'стереть': 232}, {'8': 539}, {'хозяйственный': 7}, {'анатомический': 104}, {'малайзия': 52}, {'прочность': 34}, {'покрытие': 34}, {'пвх': 23}, {'одноразовый': 48}, {'gammex': 88}, {'manual': 10}, {'размер 7,5': 2}, {'россия': 40}, {'форма': 75}, {'dermagrip': 21}, {'6': 345}, {'виниловый': 31}, {'синтетический': 25}, {'7,5': 94}, {'неопреновый': 35}, {'50': 22}, {'р м': 24}, {'epic': 36}, {'австрия': 22}, {'размер 6': 83}, {'grip': 35}, {'размер 6,5': 19}, {'sfm': 74}, {'9': 45}, {'eco': 14}, {'внутренний': 17}, {'германия': 73}, {'medi': 31}, {'удлинённый': 21}, {'натуральный': 18}, {'1': 18}]
пара: [{'перчатка': 2447}, {'латексный': 946}, {'смотровой': 953}, {'хирургический': 691}, {'нестерильный': 767}, {'неопудрить': 699}, {'стерильный': 252}, {'размер м': 426}, {'нитриловый': 390}, {'размер s': 341}, {'размер l': 305}, {'опудрить': 263}, {'медицинский': 102}, {'текстурированный': 364}, {'диагностический': 75}, {'pf': 224}, {'размер 7': 80}, {'повышенный': 26}, {'размер 8': 50}, {'резиновый': 92}, {'хлопчатобумажный': 127}, {'7': 74}, {'стереть': 401}, {'8': 67}, {'хозяйственный': 86}, {'анатомический': 163}, {'малайзия': 38}, {'прочность': 17}, {'покрытие': 54}, {'пвх': 98}, {'одноразовый': 57}, {'gammex': 53}, {'manual': 98}, {'размер 7,5': 24}, {'россия': 46}, {'форма': 60}, {'dermagrip': 83}, {'6': 36}, {'виниловый': 42}, {'синтетический': 21}, {'7,5': 45}, {'неопреновый': 16}, {'50': 630}, {'р м': 80}, {'epic': 61}, {'австрия': 26}, {'размер 6': 9}, {'grip': 56}, {'размер 6,5': 9}, {'sfm': 77}, {'9': 17}, {'eco': 30}, {'внутренний': 7}, {'германия': 24}, {'medi': 54}, {'удлинённый': 5}, {'натуральный': 21}, {'1': 220}]
стереть: [{'перчатка': 2360}, {'латексный': 958}, {'смотровой': 310}, {'хирургический': 1894}, {'нестерильный': 0}, {'неопудрить': 756}, {'стерильный': 23}, {'размер м': 173}, {'нитриловый': 74}, {'размер s': 103}, {'размер l': 88}, {'опудрить': 315}, {'медицинский': 69}, {'текстурированный': 218}, {'диагностический': 21}, {'pf': 477}, {'размер 7': 79}, {'повышенный': 13}, {'размер 8': 62}, {'резиновый': 13}, {'хлопчатобумажный': 0}, {'7': 232}, {'пара': 401}, {'8': 243}, {'хозяйственный': 0}, {'анатомический': 292}, {'малайзия': 28}, {'прочность': 2}, {'покрытие': 33}, {'пвх': 0}, {'одноразовый': 69}, {'gammex': 250}, {'manual': 0}, {'размер 7,5': 16}, {'россия': 52}, {'форма': 136}, {'dermagrip': 2}, {'6': 86}, {'виниловый': 0}, {'синтетический': 8}, {'7,5': 145}, {'неопреновый': 34}, {'50': 92}, {'р м': 25}, {'epic': 99}, {'австрия': 15}, {'размер 6': 5}, {'grip': 133}, {'размер 6,5': 8}, {'sfm': 63}, {'9': 45}, {'eco': 0}, {'внутренний': 5}, {'германия': 30}, {'medi': 127}, {'удлинённый': 23}, {'натуральный': 2}, {'1': 100}]
8: [{'перчатка': 2331}, {'латексный': 809}, {'смотровой': 628}, {'хирургический': 1071}, {'нестерильный': 711}, {'неопудрить': 521}, {'стерильный': 666}, {'размер м': 442}, {'нитриловый': 205}, {'размер s': 16}, {'размер l': 295}, {'опудрить': 277}, {'медицинский': 143}, {'текстурированный': 172}, {'диагностический': 107}, {'pf': 115}, {'размер 7': 163}, {'повышенный': 53}, {'размер 8': 0}, {'резиновый': 39}, {'хлопчатобумажный': 11}, {'7': 539}, {'пара': 67}, {'стереть': 243}, {'хозяйственный': 10}, {'анатомический': 110}, {'малайзия': 52}, {'прочность': 43}, {'покрытие': 32}, {'пвх': 4}, {'одноразовый': 38}, {'gammex': 80}, {'manual': 6}, {'размер 7,5': 13}, {'россия': 46}, {'форма': 64}, {'dermagrip': 16}, {'6': 40}, {'виниловый': 21}, {'синтетический': 23}, {'7,5': 77}, {'неопреновый': 42}, {'50': 17}, {'р м': 18}, {'epic': 35}, {'австрия': 23}, {'размер 6': 23}, {'grip': 30}, {'размер 6,5': 10}, {'sfm': 82}, {'9': 260}, {'eco': 10}, {'внутренний': 12}, {'германия': 78}, {'medi': 24}, {'удлинённый': 20}, {'натуральный': 14}, {'1': 16}]
хозяйственный: [{'перчатка': 2014}, {'латексный': 573}, {'смотровой': 13}, {'хирургический': 1}, {'нестерильный': 6}, {'неопудрить': 7}, {'стерильный': 0}, {'размер м': 341}, {'нитриловый': 6}, {'размер s': 98}, {'размер l': 361}, {'опудрить': 245}, {'медицинский': 0}, {'текстурированный': 2}, {'диагностический': 0}, {'pf': 0}, {'размер 7': 6}, {'повышенный': 28}, {'размер 8': 8}, {'резиновый': 795}, {'хлопчатобумажный': 503}, {'7': 7}, {'пара': 86}, {'стереть': 0}, {'8': 10}, {'анатомический': 1}, {'малайзия': 17}, {'прочность': 28}, {'покрытие': 101}, {'пвх': 184}, {'одноразовый': 15}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 0}, {'россия': 118}, {'форма': 0}, {'dermagrip': 8}, {'6': 3}, {'виниловый': 2}, {'синтетический': 0}, {'7,5': 1}, {'неопреновый': 0}, {'50': 7}, {'р м': 17}, {'epic': 0}, {'австрия': 0}, {'размер 6': 0}, {'grip': 0}, {'размер 6,5': 0}, {'sfm': 0}, {'9': 13}, {'eco': 0}, {'внутренний': 29}, {'германия': 0}, {'medi': 0}, {'удлинённый': 6}, {'натуральный': 9}, {'1': 16}]
анатомический: [{'перчатка': 1924}, {'латексный': 1001}, {'смотровой': 75}, {'хирургический': 1428}, {'нестерильный': 478}, {'неопудрить': 467}, {'стерильный': 821}, {'размер м': 109}, {'нитриловый': 26}, {'размер s': 50}, {'размер l': 64}, {'опудрить': 467}, {'медицинский': 74}, {'текстурированный': 258}, {'диагностический': 7}, {'pf': 87}, {'размер 7': 198}, {'повышенный': 35}, {'размер 8': 165}, {'резиновый': 24}, {'хлопчатобумажный': 0}, {'7': 104}, {'пара': 163}, {'стереть': 292}, {'8': 110}, {'хозяйственный': 1}, {'малайзия': 13}, {'прочность': 20}, {'покрытие': 5}, {'пвх': 0}, {'одноразовый': 13}, {'gammex': 7}, {'manual': 5}, {'размер 7,5': 41}, {'россия': 40}, {'форма': 1042}, {'dermagrip': 13}, {'6': 28}, {'виниловый': 1}, {'синтетический': 2}, {'7,5': 55}, {'неопреновый': 14}, {'50': 53}, {'р м': 2}, {'epic': 40}, {'австрия': 41}, {'размер 6': 43}, {'grip': 3}, {'размер 6,5': 34}, {'sfm': 59}, {'9': 44}, {'eco': 43}, {'внутренний': 3}, {'германия': 18}, {'medi': 3}, {'удлинённый': 9}, {'натуральный': 9}, {'1': 55}]
малайзия: [{'перчатка': 1900}, {'латексный': 690}, {'смотровой': 782}, {'хирургический': 609}, {'нестерильный': 519}, {'неопудрить': 468}, {'стерильный': 355}, {'размер м': 346}, {'нитриловый': 228}, {'размер s': 226}, {'размер l': 237}, {'опудрить': 126}, {'медицинский': 171}, {'текстурированный': 104}, {'диагностический': 182}, {'pf': 266}, {'размер 7': 109}, {'повышенный': 97}, {'размер 8': 96}, {'резиновый': 30}, {'хлопчатобумажный': 0}, {'7': 52}, {'пара': 38}, {'стереть': 28}, {'8': 52}, {'хозяйственный': 17}, {'анатомический': 13}, {'прочность': 85}, {'покрытие': 38}, {'пвх': 0}, {'одноразовый': 45}, {'gammex': 186}, {'manual': 0}, {'размер 7,5': 67}, {'россия': 27}, {'форма': 4}, {'dermagrip': 157}, {'6': 17}, {'виниловый': 7}, {'синтетический': 14}, {'7,5': 20}, {'неопреновый': 41}, {'50': 17}, {'р м': 20}, {'epic': 0}, {'австрия': 14}, {'размер 6': 25}, {'grip': 49}, {'размер 6,5': 35}, {'sfm': 0}, {'9': 12}, {'eco': 4}, {'внутренний': 24}, {'германия': 43}, {'medi': 49}, {'удлинённый': 7}, {'натуральный': 25}, {'1': 26}]
прочность: [{'перчатка': 1797}, {'латексный': 997}, {'смотровой': 927}, {'хирургический': 235}, {'нестерильный': 439}, {'неопудрить': 489}, {'стерильный': 136}, {'размер м': 452}, {'нитриловый': 226}, {'размер s': 183}, {'размер l': 390}, {'опудрить': 47}, {'медицинский': 75}, {'текстурированный': 79}, {'диагностический': 92}, {'pf': 32}, {'размер 7': 40}, {'повышенный': 1659}, {'размер 8': 57}, {'резиновый': 49}, {'хлопчатобумажный': 13}, {'7': 34}, {'пара': 17}, {'стереть': 2}, {'8': 43}, {'хозяйственный': 28}, {'анатомический': 20}, {'малайзия': 85}, {'покрытие': 2}, {'пвх': 4}, {'одноразовый': 12}, {'gammex': 4}, {'manual': 43}, {'размер 7,5': 17}, {'россия': 11}, {'форма': 5}, {'dermagrip': 86}, {'6': 10}, {'виниловый': 0}, {'синтетический': 9}, {'7,5': 10}, {'неопреновый': 2}, {'50': 5}, {'р м': 41}, {'epic': 0}, {'австрия': 12}, {'размер 6': 3}, {'grip': 0}, {'размер 6,5': 5}, {'sfm': 26}, {'9': 13}, {'eco': 0}, {'внутренний': 1}, {'германия': 27}, {'medi': 0}, {'удлинённый': 149}, {'натуральный': 15}, {'1': 3}]
покрытие: [{'перчатка': 1802}, {'латексный': 478}, {'смотровой': 144}, {'хирургический': 660}, {'нестерильный': 96}, {'неопудрить': 371}, {'стерильный': 213}, {'размер м': 91}, {'нитриловый': 341}, {'размер s': 60}, {'размер l': 46}, {'опудрить': 9}, {'медицинский': 26}, {'текстурированный': 17}, {'диагностический': 38}, {'pf': 110}, {'размер 7': 87}, {'повышенный': 12}, {'размер 8': 77}, {'резиновый': 20}, {'хлопчатобумажный': 404}, {'7': 34}, {'пара': 54}, {'стереть': 33}, {'8': 32}, {'хозяйственный': 101}, {'анатомический': 5}, {'малайзия': 38}, {'прочность': 2}, {'пвх': 397}, {'одноразовый': 6}, {'gammex': 89}, {'manual': 3}, {'размер 7,5': 62}, {'россия': 33}, {'форма': 6}, {'dermagrip': 0}, {'6': 16}, {'виниловый': 13}, {'синтетический': 149}, {'7,5': 37}, {'неопреновый': 7}, {'50': 9}, {'р м': 11}, {'epic': 0}, {'австрия': 3}, {'размер 6': 19}, {'grip': 1}, {'размер 6,5': 22}, {'sfm': 5}, {'9': 7}, {'eco': 0}, {'внутренний': 597}, {'германия': 0}, {'medi': 1}, {'удлинённый': 1}, {'натуральный': 5}, {'1': 7}]
пвх: [{'перчатка': 1498}, {'латексный': 5}, {'смотровой': 34}, {'хирургический': 0}, {'нестерильный': 30}, {'неопудрить': 29}, {'стерильный': 0}, {'размер м': 26}, {'нитриловый': 29}, {'размер s': 14}, {'размер l': 16}, {'опудрить': 118}, {'медицинский': 8}, {'текстурированный': 6}, {'диагностический': 14}, {'pf': 8}, {'размер 7': 1}, {'повышенный': 15}, {'размер 8': 5}, {'резиновый': 7}, {'хлопчатобумажный': 993}, {'7': 22}, {'пара': 98}, {'стереть': 0}, {'8': 4}, {'хозяйственный': 184}, {'анатомический': 0}, {'малайзия': 0}, {'прочность': 4}, {'покрытие': 396}, {'одноразовый': 5}, {'gammex': 0}, {'manual': 16}, {'размер 7,5': 1}, {'россия': 90}, {'форма': 0}, {'dermagrip': 0}, {'6': 35}, {'виниловый': 26}, {'синтетический': 5}, {'7,5': 23}, {'неопреновый': 2}, {'50': 8}, {'р м': 1}, {'epic': 0}, {'австрия': 0}, {'размер 6': 1}, {'grip': 0}, {'размер 6,5': 0}, {'sfm': 0}, {'9': 4}, {'eco': 0}, {'внутренний': 2}, {'германия': 1}, {'medi': 0}, {'удлинённый': 0}, {'натуральный': 1}, {'1': 10}]
одноразовый: [{'перчатка': 1471}, {'латексный': 424}, {'смотровой': 355}, {'хирургический': 317}, {'нестерильный': 427}, {'неопудрить': 237}, {'стерильный': 322}, {'размер м': 295}, {'нитриловый': 205}, {'размер s': 170}, {'размер l': 169}, {'опудрить': 118}, {'медицинский': 375}, {'текстурированный': 90}, {'диагностический': 187}, {'pf': 5}, {'размер 7': 41}, {'повышенный': 12}, {'размер 8': 29}, {'резиновый': 9}, {'хлопчатобумажный': 1}, {'7': 48}, {'пара': 57}, {'стереть': 69}, {'8': 38}, {'хозяйственный': 15}, {'анатомический': 13}, {'малайзия': 45}, {'прочность': 12}, {'покрытие': 6}, {'пвх': 5}, {'gammex': 3}, {'manual': 2}, {'размер 7,5': 15}, {'россия': 24}, {'форма': 15}, {'dermagrip': 5}, {'6': 23}, {'виниловый': 58}, {'синтетический': 4}, {'7,5': 14}, {'неопреновый': 7}, {'50': 46}, {'р м': 28}, {'epic': 3}, {'австрия': 12}, {'размер 6': 7}, {'grip': 4}, {'размер 6,5': 12}, {'sfm': 41}, {'9': 11}, {'eco': 5}, {'внутренний': 6}, {'германия': 12}, {'medi': 1}, {'удлинённый': 2}, {'натуральный': 7}, {'1': 17}]
gammex: [{'перчатка': 1463}, {'латексный': 405}, {'смотровой': 1}, {'хирургический': 1350}, {'нестерильный': 0}, {'неопудрить': 480}, {'стерильный': 571}, {'размер м': 4}, {'нитриловый': 0}, {'размер s': 3}, {'размер l': 1}, {'опудрить': 25}, {'медицинский': 95}, {'текстурированный': 11}, {'диагностический': 0}, {'pf': 1237}, {'размер 7': 169}, {'повышенный': 27}, {'размер 8': 170}, {'резиновый': 2}, {'хлопчатобумажный': 0}, {'7': 88}, {'пара': 53}, {'стереть': 250}, {'8': 80}, {'хозяйственный': 0}, {'анатомический': 7}, {'малайзия': 186}, {'прочность': 4}, {'покрытие': 89}, {'пвх': 0}, {'одноразовый': 3}, {'manual': 0}, {'размер 7,5': 114}, {'россия': 0}, {'форма': 2}, {'dermagrip': 0}, {'6': 22}, {'виниловый': 0}, {'синтетический': 18}, {'7,5': 55}, {'неопреновый': 113}, {'50': 2}, {'р м': 0}, {'epic': 0}, {'австрия': 0}, {'размер 6': 36}, {'grip': 3}, {'размер 6,5': 39}, {'sfm': 0}, {'9': 9}, {'eco': 0}, {'внутренний': 60}, {'германия': 2}, {'medi': 1}, {'удлинённый': 0}, {'натуральный': 1}, {'1': 5}]
manual: [{'перчатка': 1414}, {'латексный': 9}, {'смотровой': 1177}, {'хирургический': 18}, {'нестерильный': 402}, {'неопудрить': 249}, {'стерильный': 5}, {'размер м': 476}, {'нитриловый': 679}, {'размер s': 341}, {'размер l': 210}, {'опудрить': 7}, {'медицинский': 63}, {'текстурированный': 43}, {'диагностический': 61}, {'pf': 17}, {'размер 7': 6}, {'повышенный': 89}, {'размер 8': 2}, {'резиновый': 1}, {'хлопчатобумажный': 0}, {'7': 10}, {'пара': 98}, {'стереть': 0}, {'8': 6}, {'хозяйственный': 0}, {'анатомический': 5}, {'малайзия': 0}, {'прочность': 43}, {'покрытие': 3}, {'пвх': 16}, {'одноразовый': 2}, {'gammex': 0}, {'размер 7,5': 4}, {'россия': 0}, {'форма': 0}, {'dermagrip': 0}, {'6': 4}, {'виниловый': 194}, {'синтетический': 69}, {'7,5': 4}, {'неопреновый': 38}, {'50': 23}, {'р м': 25}, {'epic': 0}, {'австрия': 190}, {'размер 6': 2}, {'grip': 0}, {'размер 6,5': 0}, {'sfm': 0}, {'9': 6}, {'eco': 0}, {'внутренний': 3}, {'германия': 2}, {'medi': 0}, {'удлинённый': 35}, {'натуральный': 0}, {'1': 4}]
размер 7,5: [{'перчатка': 1408}, {'латексный': 589}, {'смотровой': 43}, {'хирургический': 1243}, {'нестерильный': 55}, {'неопудрить': 448}, {'стерильный': 836}, {'размер м': 36}, {'нитриловый': 27}, {'размер s': 2}, {'размер l': 0}, {'опудрить': 159}, {'медицинский': 94}, {'текстурированный': 44}, {'диагностический': 0}, {'pf': 190}, {'размер 7': 0}, {'повышенный': 50}, {'размер 8': 0}, {'резиновый': 3}, {'хлопчатобумажный': 5}, {'7': 2}, {'пара': 24}, {'стереть': 16}, {'8': 13}, {'хозяйственный': 0}, {'анатомический': 41}, {'малайзия': 67}, {'прочность': 17}, {'покрытие': 62}, {'пвх': 1}, {'одноразовый': 15}, {'gammex': 114}, {'manual': 4}, {'россия': 25}, {'форма': 34}, {'dermagrip': 1}, {'6': 1}, {'виниловый': 3}, {'синтетический': 26}, {'7,5': 0}, {'неопреновый': 43}, {'50': 5}, {'р м': 0}, {'epic': 56}, {'австрия': 25}, {'размер 6': 0}, {'grip': 34}, {'размер 6,5': 0}, {'sfm': 15}, {'9': 0}, {'eco': 3}, {'внутренний': 42}, {'германия': 19}, {'medi': 34}, {'удлинённый': 19}, {'натуральный': 11}, {'1': 3}]
россия: [{'перчатка': 1277}, {'латексный': 399}, {'смотровой': 284}, {'хирургический': 356}, {'нестерильный': 119}, {'неопудрить': 155}, {'стерильный': 459}, {'размер м': 157}, {'нитриловый': 59}, {'размер s': 95}, {'размер l': 124}, {'опудрить': 135}, {'медицинский': 78}, {'текстурированный': 19}, {'диагностический': 33}, {'pf': 0}, {'размер 7': 68}, {'повышенный': 14}, {'размер 8': 65}, {'резиновый': 81}, {'хлопчатобумажный': 169}, {'7': 40}, {'пара': 46}, {'стереть': 52}, {'8': 46}, {'хозяйственный': 118}, {'анатомический': 40}, {'малайзия': 27}, {'прочность': 11}, {'покрытие': 33}, {'пвх': 90}, {'одноразовый': 24}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 25}, {'форма': 23}, {'dermagrip': 0}, {'6': 17}, {'виниловый': 5}, {'синтетический': 7}, {'7,5': 11}, {'неопреновый': 18}, {'50': 6}, {'р м': 19}, {'epic': 17}, {'австрия': 5}, {'размер 6': 25}, {'grip': 0}, {'размер 6,5': 13}, {'sfm': 0}, {'9': 13}, {'eco': 0}, {'внутренний': 1}, {'германия': 15}, {'medi': 0}, {'удлинённый': 15}, {'натуральный': 4}, {'1': 36}]
форма: [{'перчатка': 1242}, {'латексный': 676}, {'смотровой': 62}, {'хирургический': 1085}, {'нестерильный': 343}, {'неопудрить': 327}, {'стерильный': 688}, {'размер м': 42}, {'нитриловый': 23}, {'размер s': 33}, {'размер l': 32}, {'опудрить': 380}, {'медицинский': 49}, {'текстурированный': 107}, {'диагностический': 7}, {'pf': 55}, {'размер 7': 143}, {'повышенный': 18}, {'размер 8': 114}, {'резиновый': 11}, {'хлопчатобумажный': 0}, {'7': 75}, {'пара': 60}, {'стереть': 136}, {'8': 64}, {'хозяйственный': 0}, {'анатомический': 1043}, {'малайзия': 4}, {'прочность': 5}, {'покрытие': 6}, {'пвх': 0}, {'одноразовый': 15}, {'gammex': 2}, {'manual': 0}, {'размер 7,5': 34}, {'россия': 23}, {'dermagrip': 0}, {'6': 21}, {'виниловый': 0}, {'синтетический': 2}, {'7,5': 42}, {'неопреновый': 11}, {'50': 29}, {'р м': 3}, {'epic': 23}, {'австрия': 27}, {'размер 6': 45}, {'grip': 3}, {'размер 6,5': 31}, {'sfm': 16}, {'9': 18}, {'eco': 37}, {'внутренний': 3}, {'германия': 8}, {'medi': 3}, {'удлинённый': 9}, {'натуральный': 10}, {'1': 0}]
dermagrip: [{'перчатка': 1238}, {'латексный': 460}, {'смотровой': 1296}, {'хирургический': 14}, {'нестерильный': 430}, {'неопудрить': 312}, {'стерильный': 20}, {'размер м': 338}, {'нитриловый': 114}, {'размер s': 229}, {'размер l': 237}, {'опудрить': 11}, {'медицинский': 51}, {'текстурированный': 69}, {'диагностический': 34}, {'pf': 202}, {'размер 7': 4}, {'повышенный': 86}, {'размер 8': 4}, {'резиновый': 14}, {'хлопчатобумажный': 0}, {'7': 21}, {'пара': 83}, {'стереть': 2}, {'8': 16}, {'хозяйственный': 8}, {'анатомический': 13}, {'малайзия': 157}, {'прочность': 86}, {'покрытие': 0}, {'пвх': 0}, {'одноразовый': 5}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 1}, {'россия': 0}, {'форма': 0}, {'6': 18}, {'виниловый': 1}, {'синтетический': 8}, {'7,5': 2}, {'неопреновый': 7}, {'50': 30}, {'р м': 22}, {'epic': 0}, {'австрия': 3}, {'размер 6': 1}, {'grip': 0}, {'размер 6,5': 0}, {'sfm': 2}, {'9': 6}, {'eco': 0}, {'внутренний': 0}, {'германия': 2}, {'medi': 0}, {'удлинённый': 4}, {'натуральный': 4}, {'1': 15}]
6: [{'перчатка': 1127}, {'латексный': 387}, {'смотровой': 370}, {'хирургический': 425}, {'нестерильный': 358}, {'неопудрить': 225}, {'стерильный': 253}, {'размер м': 32}, {'нитриловый': 140}, {'размер s': 334}, {'размер l': 17}, {'опудрить': 149}, {'медицинский': 69}, {'текстурированный': 88}, {'диагностический': 65}, {'pf': 35}, {'размер 7': 3}, {'повышенный': 18}, {'размер 8': 2}, {'резиновый': 10}, {'хлопчатобумажный': 30}, {'7': 345}, {'пара': 36}, {'стереть': 86}, {'8': 40}, {'хозяйственный': 3}, {'анатомический': 28}, {'малайзия': 17}, {'прочность': 10}, {'покрытие': 16}, {'пвх': 35}, {'одноразовый': 23}, {'gammex': 22}, {'manual': 4}, {'размер 7,5': 1}, {'россия': 17}, {'форма': 21}, {'dermagrip': 18}, {'виниловый': 15}, {'синтетический': 12}, {'7,5': 21}, {'неопреновый': 11}, {'50': 14}, {'р м': 1}, {'epic': 16}, {'австрия': 5}, {'размер 6': 0}, {'grip': 12}, {'размер 6,5': 0}, {'sfm': 35}, {'9': 36}, {'eco': 7}, {'внутренний': 4}, {'германия': 32}, {'medi': 11}, {'удлинённый': 6}, {'натуральный': 7}, {'1': 10}]
виниловый: [{'перчатка': 1116}, {'латексный': 5}, {'смотровой': 711}, {'хирургический': 0}, {'нестерильный': 447}, {'неопудрить': 441}, {'стерильный': 15}, {'размер м': 357}, {'нитриловый': 1}, {'размер s': 219}, {'размер l': 215}, {'опудрить': 23}, {'медицинский': 46}, {'текстурированный': 4}, {'диагностический': 69}, {'pf': 5}, {'размер 7': 11}, {'повышенный': 6}, {'размер 8': 4}, {'резиновый': 4}, {'хлопчатобумажный': 0}, {'7': 31}, {'пара': 42}, {'стереть': 0}, {'8': 21}, {'хозяйственный': 2}, {'анатомический': 1}, {'малайзия': 7}, {'прочность': 0}, {'покрытие': 13}, {'пвх': 27}, {'одноразовый': 58}, {'gammex': 0}, {'manual': 194}, {'размер 7,5': 3}, {'россия': 5}, {'форма': 0}, {'dermagrip': 1}, {'6': 15}, {'синтетический': 39}, {'7,5': 4}, {'неопреновый': 0}, {'50': 24}, {'р м': 40}, {'epic': 0}, {'австрия': 51}, {'размер 6': 5}, {'grip': 0}, {'размер 6,5': 2}, {'sfm': 17}, {'9': 5}, {'eco': 0}, {'внутренний': 13}, {'германия': 21}, {'medi': 0}, {'удлинённый': 0}, {'натуральный': 1}, {'1': 4}]
синтетический: [{'перчатка': 1071}, {'латексный': 156}, {'смотровой': 493}, {'хирургический': 368}, {'нестерильный': 368}, {'неопудрить': 393}, {'стерильный': 243}, {'размер м': 200}, {'нитриловый': 233}, {'размер s': 142}, {'размер l': 106}, {'опудрить': 82}, {'медицинский': 85}, {'текстурированный': 42}, {'диагностический': 95}, {'pf': 24}, {'размер 7': 47}, {'повышенный': 19}, {'размер 8': 37}, {'резиновый': 0}, {'хлопчатобумажный': 0}, {'7': 25}, {'пара': 21}, {'стереть': 8}, {'8': 23}, {'хозяйственный': 0}, {'анатомический': 2}, {'малайзия': 14}, {'прочность': 9}, {'покрытие': 149}, {'пвх': 5}, {'одноразовый': 4}, {'gammex': 18}, {'manual': 69}, {'размер 7,5': 26}, {'россия': 7}, {'форма': 2}, {'dermagrip': 8}, {'6': 12}, {'виниловый': 39}, {'7,5': 11}, {'неопреновый': 50}, {'50': 5}, {'р м': 11}, {'epic': 0}, {'австрия': 2}, {'размер 6': 12}, {'grip': 1}, {'размер 6,5': 18}, {'sfm': 19}, {'9': 4}, {'eco': 5}, {'внутренний': 139}, {'германия': 10}, {'medi': 1}, {'удлинённый': 16}, {'натуральный': 3}, {'1': 2}]
7,5: [{'перчатка': 955}, {'латексный': 298}, {'смотровой': 62}, {'хирургический': 727}, {'нестерильный': 68}, {'неопудрить': 249}, {'стерильный': 430}, {'размер м': 71}, {'нитриловый': 49}, {'размер s': 4}, {'размер l': 9}, {'опудрить': 91}, {'медицинский': 39}, {'текстурированный': 31}, {'диагностический': 8}, {'pf': 105}, {'размер 7': 33}, {'повышенный': 30}, {'размер 8': 0}, {'резиновый': 3}, {'хлопчатобумажный': 25}, {'7': 94}, {'пара': 45}, {'стереть': 145}, {'8': 77}, {'хозяйственный': 1}, {'анатомический': 55}, {'малайзия': 20}, {'прочность': 10}, {'покрытие': 37}, {'пвх': 23}, {'одноразовый': 14}, {'gammex': 55}, {'manual': 4}, {'размер 7,5': 0}, {'россия': 11}, {'форма': 42}, {'dermagrip': 2}, {'6': 21}, {'виниловый': 4}, {'синтетический': 11}, {'неопреновый': 19}, {'50': 12}, {'р м': 1}, {'epic': 19}, {'австрия': 7}, {'размер 6': 10}, {'grip': 20}, {'размер 6,5': 21}, {'sfm': 18}, {'9': 27}, {'eco': 1}, {'внутренний': 11}, {'германия': 19}, {'medi': 21}, {'удлинённый': 10}, {'натуральный': 4}, {'1': 6}]
